"month","active_accounts","total_events","total_minutes","total_visitors"
"2025-04-01","7334","40383498","4236651","53265"
"2025-05-01","7398","41886948","4497622","52933"
"2025-06-01","7293","40246067","4344872","52410"
"2025-07-01","7214","42150051","4612282","54092"
"2025-08-01","6767","38631191","4329276","52332"
"2025-09-01","6877","43234290","5565658","54605"
"2025-10-01","6625","44671825","4919652","55755"
"2025-11-01","6392","36983709","4151018","52081"
"2025-12-01","6245","35686451","3825908","49720"
"2026-01-01","6432","40893910","4388767","53316"
"2026-02-01","6515","43623039","4531634","55097"
"2026-03-01","6555","54209659","5580968","57454"
"2026-04-01","5422","22709884","2365967","40903"
