"month","renewals_count","churns_count","renewals_arr","churns_arr"
"2025-04-01","216","35","3.192328642065185E7","1408138.0091120643"
"2025-05-01","111","46","1.1561242165625425E7","2474573.439656144"
"2025-06-01","144","31","2.6290285778826732E7","2620915.457138691"
"2025-07-01","234","49","3.1631939308181945E7","2464397.5677331584"
"2025-08-01","134","43","1.7536509372674726E7","2545549.45824216"
"2025-09-01","158","40","1.1424862797502115E7","2295349.9847767884"
"2025-10-01","245","40","3.192413479767714E7","2076137.5520648141"
"2025-11-01","95","34","1.0225265675949583E7","1316424.5319041112"
"2025-12-01","230","27","3.061008676387432E7","2302456.579085334"
"2026-01-01","332","57","4.7230219942245215E7","2591648.0350493076"
"2026-02-01","95","44","8248053.4666802175","3173896.929532069"
"2026-03-01","174","29","1.9503381797526415E7","1262376.8813856598"
"2026-04-01","94","23","6562143.028429673","920347.1172012826"
"2026-05-01","3","7","74000.0","171220.88999"
"2026-06-01","2","4","68991.78","102298.99999998"
"2026-07-01","0","1","0.0","19166.4"
"2026-08-01","0","1","0.0","27583.79"
"2026-09-01","0","1","0.0","31363.64"
"2026-10-01","0","2","0.0","135480.90999999997"
"2026-11-01","0","1","0.0","113914.70667038"
"2027-02-01","0","2","0.0","15472.98"
"2027-06-01","0","1","0.0","211818.06"
"2027-10-01","0","1","0.0","1249.9999999999998"
"2028-05-01","0","1","0.0","18000.0"
