"month","renewals","churns","churn_rate_pct"
"2025-04-01","216","35","13.9"
"2025-05-01","111","46","29.3"
"2025-06-01","144","31","17.7"
"2025-07-01","234","49","17.3"
"2025-08-01","134","43","24.3"
"2025-09-01","158","40","20.2"
"2025-10-01","245","40","14.0"
"2025-11-01","95","34","26.4"
"2025-12-01","230","27","10.5"
"2026-01-01","332","57","14.7"
"2026-02-01","95","44","31.7"
"2026-03-01","174","29","14.3"
"2026-04-01","94","23","19.7"
"2026-05-01","3","7","70.0"
"2026-06-01","2","4","66.7"
"2026-07-01","0","1","100.0"
"2026-08-01","0","1","100.0"
"2026-09-01","0","1","100.0"
"2026-10-01","0","2","100.0"
"2026-11-01","0","1","100.0"
"2027-02-01","0","2","100.0"
"2027-06-01","0","1","100.0"
"2027-10-01","0","1","100.0"
"2028-05-01","0","1","100.0"
