"month","upcoming_count","upcoming_arr"
"2026-04-01","131","1.9210216483086355E7"
"2026-05-01","131","1.125925776948922E7"
"2026-06-01","134","1.2669994695900388E7"
"2026-07-01","220","2.4983234709108688E7"
"2026-08-01","165","2.286835667335035E7"
"2026-09-01","166","1.27358011736097E7"
"2026-10-01","233","2.3200900215015035E7"
"2026-11-01","158","1.1489715513159323E7"
"2026-12-01","253","2.3208132431660116E7"
"2027-01-01","329","3.7268499730779506E7"
"2027-02-01","183","1.4795451586139517E7"
"2027-03-01","174","1.6112579282677371E7"
